day,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
"1","-","657,81","651,79","678,53","-","-","679,15","700,82","-","728,21","-",
"2","694,77","-","-","672,56","678,71","-","677,62","704,88","720,20","729,38","-",
"3","697,09","-","-","670,05","683,31","709,80","681,30","-","724,72","727,80","-",
"4","697,64","655,39","656,57","667,55","-","704,59","680,48","-","725,69","719,53","-",
"5","-","653,80","659,07","666,32","-","696,78","677,64","711,13","723,30","-","-",
"6","-","652,78","657,49","-","678,68","693,25","-","721,70","717,52","-","-",
"7","688,42","653,90","658,40","-","681,09","692,21","-","716,35","-","715,53","-",
"8","679,69","654,44","662,19","664,17","683,49","-","683,12","718,55","-","717,05","-",
"9","680,10","-","-","663,01","684,51","-","685,83","710,98","711,22","722,28","-",
"10","678,09","-","-","663,15","686,43","692,28","688,88","-","713,72","724,27","-",
"11","677,58","656,46","670,83","662,92","-","697,34","685,40","-","714,77","720,61","-",
"12","-","660,82","669,37","664,19","-","693,60","683,38","712,04","714,39","-","-",
"13","-","660,49","667,09","-","685,67","694,89","-","716,69","711,29","-","-",
"14","675,15","661,60","665,68","-","693,04","696,25","-","708,37","-","-","-",
"15","674,95","665,90","670,62","660,67","692,33","-","681,07","-","-","-","-",
"16","673,76","-","-","662,86","692,62","-","-","710,14","707,07","-","-",
"17","672,73","-","-","663,98","692,79","698,72","679,48","-","709,81","-","-",
"18","671,37","663,98","669,39","660,48","-","699,52","681,69","-","-","-","-",
"19","-","660,82","667,21","-","-","696,81","683,27","709,26","-","-","-",
"20","-","658,75","664,78","-","696,61","693,99","-","711,94","-","-","-",
"21","670,10","654,52","666,13","-","-","684,19","-","710,63","-","-","-",
"22","672,42","654,33","665,12","662,27","697,23","-","685,81","709,52","-","-","-",
"23","672,26","-","-","663,91","696,70","-","688,28","713,22","715,24","-","-",
"24","672,41","-","-","668,19","698,03","683,41","691,57","-","722,17","-","-",
"25","672,14","651,36","676,60","672,83","-","682,31","691,36","-","721,92","-","-",
"26","-","649,22","679,08","676,21","-","678,32","694,16","716,40","727,08","-","-",
"27","-","649,80","679,02","-","694,84","680,06","-","718,75","726,17","-","-",
"28","667,04","649,92","683,73","-","696,46","679,86","-","721,55","-","-","-",
"29","671,29","-","681,09","673,86","703,48","-","696,62","724,20","-","-","-",
"30","669,60","-","-","677,67","708,20","-","697,22","720,65","725,68","-","-",
"31","666,76","-","-","-","707,86","-","699,98","-","-","-","-",
"Promedio","677,06","656,30","667,68","667,40","692,00","692,41","686,06","713,70","718,44","723,01","-",
